filename,hour_of_recording,minute_of_hour,SRWA,observer,notes
SWIFT01_20230301_020008,0,43,FALSE,JL,
SWIFT01_20230301_020008,0,43,NA,JL, duplicate minute
SWIFT01_20230301_020008,0,45,FALSE,JL,
SWIFT01_20230301_020008,0,24,FALSE,JL,
SWIFT01_20230301_020008,0,37,FALSE,JL,
SWIFT01_20230301_020008,1,31,FALSE,JL,
SWIFT01_20230301_020008,1,22,FALSE,JL,
SWIFT01_20230301_020008,1,42,FALSE,JL,
SWIFT01_20230301_020008,1,16,FALSE,JL,
SWIFT01_20230301_040014,0,0,FALSE,JL,
SWIFT01_20230301_040014,0,9,FALSE,JL,
SWIFT01_20230301_040014,0,53,FALSE,JL,
SWIFT01_20230301_040014,0,48,FALSE,JL,
SWIFT01_20230301_040014,1,31,FALSE,JL,
SWIFT01_20230301_040014,1,58,FALSE,JL,
SWIFT01_20230301_040014,1,9,FALSE,JL,
SWIFT01_20230301_040014,1,28,FALSE,JL,
SWIFT01_20230301_100037,0,4,FALSE,JL,
SWIFT01_20230301_100037,0,8,FALSE,JL,
SWIFT01_20230301_100037,0,12,FALSE,JL,
SWIFT01_20230301_100037,0,39,FALSE,JL,
SWIFT01_20230301_100037,1,10,FALSE,JL,
SWIFT01_20230301_100037,1,42,FALSE,JL,
SWIFT01_20230301_100037,1,29,FALSE,JL,
SWIFT01_20230301_100037,1,2,FALSE,JL,
SWIFT01_20230301_160057,0,18,FALSE,JL,
SWIFT01_20230301_160057,0,12,FALSE,JL,
SWIFT01_20230301_160057,0,35,FALSE,JL,
SWIFT01_20230301_160057,0,22,FALSE,JL,
SWIFT01_20230301_160057,1,5,TRUE,JL,
SWIFT01_20230301_160057,1,21,TRUE,JL,x
SWIFT01_20230301_160057,1,25,TRUE,JL,x
SWIFT01_20230301_160057,1,18,TRUE,JL,
SWIFT01_20230301_180103,0,16,TRUE,JL,
SWIFT01_20230301_180103,0,44,FALSE,JL,
SWIFT01_20230301_180103,0,32,FALSE,JL,
